Identifiant,Description,Marque,Poids,Prix,Prix_ref,Popularité,Disponible
860,Wish for Luck vin rouge Chili,WISH FOR,750,9.69,1.29/100ML,1,oui
361,Thé glacé (citron),PURELIFE,400,2.99,0.17/100ML,6,non
84,Bière blonde de luxe 5.2%,STELLA ARTOIS,330,19.99,0.50/100ML,10,oui
752,Fromage cheddar mi-fort en tranches,CRACKER BARREL,240,4.99,2.08/100Gr,3,oui
694,Trempette nuoc cham ,BLUE DRAGON,190,2.79,1.47/100ML,3,non
386,Yogourt méditerranée moka,LIBERTÉ,500,2.99,0.60/100Gr,9,oui
330,Bière Silver Creek en canette 5% alcool,SLEEMAN,235,14.99,0.35/100ML,7,non
761,Bière 5% en canette,SAPPORO,235,19.99,0.47/100ML,1,oui
99,Yogourt moment gousse de vanille 8%,IOGO,500,2.99,0.60/100Gr,7,non
275,Yogourtec source vanille ,YOPLAIT,400,2.99,0.75/100Gr,8,oui
